region,sector,total_final_demand
20.342,0.0534,167631.38280172678
0.001573,0.023429,40180.65075169321
75.054,0.017065,6440.681455495424
3.9167,0.0016991,54438.00409628702
12348.0,0.00024344,156389.280567461
661700.0,0.1448,64465.69098660071
394.18,0.04533,7657.176033383177
0.0001328,0.0007882,37469.604397233714
0.00014186,0.037041,20812.892342354844
2769.4,0.053024,19350.99018487697
1676.7,0.046708,30813.279481579186
20908.0,0.025202,177392.4655831546
92.09,0.028357,43719.424713978275
101.54,0.0020767,103181.4612033121
50160.0,0.11345,25631.632274843687
166260.0,0.28075,56109.00750545916
3.9718,0.05644,13664.663044833074
204380.0,0.3046,14259.505837992006
24995.0,0.068325,49895.24073328454
3.6881e-05,0.0097169,22910.433433530132
119280.0,0.063652,43565.86285608038
15.542,0.11055,51330.473077537994
526.69,0.25728,47990.46581021155
4.4452e-06,0.00011103,18644.855898951937
0.00022573,0.012367,40760.54934167736
1.0064e-05,6.1083e-05,821373.3943768322
0.00018786,0.0013236,66734.08736143328
0.00020295,0.00019891,363.91219763962107
0.040708,0.041553,61.347214303370365
0.00038268,0.00037535,4941.171744495771
0.00059995,0.00060623,2690.221087725715
0.0018138,0.0018432,22.744881402261303
0.00038268,0.00038359,150.8705552768247
0.0006134,0.00061792,356.798492051602
0.00332,0.0033823,136.81883067927288
6.7636e-05,6.4889e-05,5486.081377067342
0.002303,0.0013863,1556.7991874434185
1.2397e-05,0.00025546,1276.4083544423197
0.0003568,0.00035937,-893.7680961317753
0.011813,4.2721e-05,1157.1867800660816
4127.9,0.0038175,37519.69416841525
2352.4,0.017997,23555.998784384334
20906.0,0.016736,41646.17971436689
365240.0,0.1162,43974.59105234921
67649.0,0.004031,22962.38769820033
0.23524,0.03924,166523.4784916373
3.6828e-06,0.051716,89586.22931174118
3.3079,0.0018971,28350.281367987503
0.0035514,0.0017742,49784.143603531236
0.00025419,0.0071359,50972.12715676662
0.049572,0.0091826,262943.80602324643
0.036432,0.00086681,47589.12312923608
0.034535,0.00084307,30813.98088119845
739160.0,0.064289,253855.32690071757
0.00055902,0.31989,1575093.1426517533
0.0086794,0.01642,416749.4703905654
0.0005627,8.8128e-05,102951.31052820427
0.0022384,3.2977e-05,213924.85992299288
0.080221,0.0087256,206574.5340905997
0.00018872,0.0001546,152926.05121769616
11474.0,0.6088,455571.3899371119
0.23433,0.028451,106803.28075145256
42088.0,0.00063132,3547279.252489144
6.0779e-05,0.0022771,1158522.0760921536
5.8846e-05,0.0010928,241529.26169810927
0.00017946,0.0015155,74658.12646549422
0.00018075,0.0013493,-78707.72005738111
0.0001009,0.0007799,29458.386518944757
2.6492e-05,5.2987e-05,303668.7468628511
0.0016966,9.0141e-06,51967.03161670535
0.00022477,0.0001889,29170.299225463332
0.2436,0.00071395,265619.2296875404
0.50281,0.00065084,26986.74963875077
0.00055132,0.00077568,16181.595362093612
0.019184,0.0055566,297039.13144002657
3.7557,0.0016415,28554.98741872368
0.011077,1.465e-05,10233.637273546781
0.11335,0.00014994,3051.94822764327
0.083186,0.00011004,1309.0271966373405
0.001013,1.3371e-06,917.624209385206
0.016377,2.1663e-05,1973.2655938410892
1.1767,0.0015565,891.9537672254504
1.8803,0.0024873,4281.764807636556
0.008943,1.1829e-05,1621.6725142375888
0.071485,3.3152e-05,42918.13590479136
0.00011968,5.1997e-05,245105.90505796048
0.0080034,0.00043338,293194.31097537023
0.00037469,1.2749e-06,166220.56065639728
22630000.0,49167.0,6662196.091158931
1.5518e-05,3.0051e-06,121028.28454530123
0.65921,0.0029861,398110.91454283317
0.00014444,0.00096326,750901.2706300522
20313.0,0.018091,299123.1920551497
2413.4,0.045227,62055.661788597055
306.5,1.699,7752.527295107219
1298800.0,0.16171,2406.7734379563076
7.1914e-05,1.9752e-05,13524.880081633893
1.6718,1.1279,7057890.278002361
1.0465,1.1483,7427153.709141462
14291000.0,5.6508,12046137.750822172
167.58,0.51989,109316.7529668224
128.16,0.19783,270034.3784070515
85.825,0.1643,43540.11253120199
1.0247,0.0065638,2590681.0025151204
12.304,0.0086148,3333382.4681463977
55.929,0.0071036,893437.4327011516
113.41,0.00072813,3998.4634723312643
285200.0,0.23941,869912.4797731038
12755.0,126.43,554337.356746824
79878.0,1.7805,300098.4946796236
119.15,0.77021,388153.9759148243
13804000.0,187.07,1168148.2311928503
12136000.0,6699.9,1063141.706685193
125400.0,9.3709,824207.9062829682
123.77,5.3854,157763.14131074713
2277800.0,2232.6,1580825.0794636447
8485000.0,3979.3,2698335.8183915396
5097600.0,693.29,3294475.889819004
891760.0,263.3,321387.77390962356
2593600.0,0.28541,140991.77616653795
6.5595e-06,8.2981e-07,10539.989050214748
0.00031148,0.0021909,32849.301910700204
1.3409e-05,1.9508e-06,20205.932424900275
0.0036976,1.3954e-05,16203.23736646259
0.010408,5.2641e-06,128908.78746135237
32.88,0.016579,448912.74952767347
1.8891e-06,1.9189e-06,2421.4592772706897
1.1557e-05,1.1666e-06,21405.771381784238
3.3149e-05,1.5075e-06,51637.32931269435
3.5439e-06,3.7593e-05,23733.806807451274
0.00093802,1.7913,10614.042930407599
0.72444,0.0001447,72263.90263177545
7.7113e-06,2.7983e-06,12138.172850458472
0.14404,1.8506e-06,29927.979709514926
0.011978,14.931,42724.025590797995
5.3018e-06,1.2335e-06,10385.07748414955
3.0193e-06,2.4532e-06,4166.526621829752
2.6363e-06,1.0057e-05,4914.72566351008
0.049897,3.1494,9681.809375019076
0.10802,0.007255,15004.580069768997
4.7461,0.00044832,75507.50190967612
22.999,0.053798,68750.79045512681
1.7198e-05,0.00024502,92672.85306334852
7.3984e-06,5.7225e-07,58216.23878086454
3.3565e-06,2.3323e-07,4890.393474991779
9.791e-06,1.1876e-06,125586.9428049031
8.9304e-06,9.4972e-07,22154.11062635644
4.7245e-06,6.3208e-08,415.794339939775
1.1611e-05,1.0368e-07,-744.5655390096107
2.0777e-05,5.6507e-08,-301.0047807973973
1.6086e-05,4.4504e-08,-1769.6436752759812
2.6036e-05,1.902e-07,70.39880259222777
0.0016679,0.0017124,41703.87610723967
2.3917e-05,4.2249e-08,309.9047148972381
1.2591e-05,1.1666e-07,-15.79981685757522
7.1774e-05,7.4433e-07,4093.688806308633
1.4051e-05,5.6572e-08,15786.77954633987
8.8293e-06,3.3414e-08,-404.86357708479983
0.00014037,0.00012504,485.21841884658005
0.0086043,1.4399e-07,-792.999855654585
0.01765,5.4021e-06,21760.789956234512
7.5682e-06,1.37e-06,20952.179192664178
0.0028252,0.69331,18134.506084332406
2.3796,0.047972,13542.3180110702
13.068,0.19877,35734.0202029471
3.6971,0.00026577,58023.55768451961
16.121,0.00024922,40255.20866726263
24.958,0.030227,100244.5675374155
0.55216,9.0732e-05,46157.211498846715
13.89,0.0020051,184663.02809130136
14.764,3.1539e-05,107024.1898607344
0.015278,5.572e-07,68751.24505308739
0.017299,4.2092e-06,46355.10951438318
0.066464,0.00062073,164476.98441895546
193.36,0.00040983,335330.3302160175
0.14456,0.00028658,40352.33592303419
250.57,0.10718,577512.2817758275
0.00058936,5.9712e-06,187471.98052270702
0.017187,6.1764e-05,20218.027077363673
0.028073,0.0006774,25446.878103489347
0.17715,0.00010182,7692.794134739059
0.00046575,1.2417e-07,55075.74183755723
0.16597,0.00039422,445430.3405388037
2.8551e-05,3.574e-07,6141.956547418448
3.3859e-05,1.667e-07,9842.44597175028
5.7411e-05,6.1875e-07,16798.868607354154
9.5961e-05,8.658e-06,28688.74794991319
9.9237e-05,1.0988e-05,45369.42129873249
0.4107,0.09777,1453617.2407848942
0.11211,0.00016535,149155.21834475492
0.00097603,5.1787e-05,23847.274679227317
0.0033736,4.8886e-05,47670.680845031806
0.0044047,0.15675,18730.46709636072
0.0049102,4.2347e-05,49748.8250396232
0.002627,0.00026688,4130.011637814883
0.0015625,0.0018787,8279.476704557948
8.5442,0.01139,3000.6693181702058
9.2406,0.012319,9707.251896316191
6.2412e-06,5.9879e-09,743.5186880808029
1.0028e-05,9.8175e-09,35151.23518327285
77.919,0.10387,815.2943461873356
9.3959e-06,9.5033e-09,160.39955776661304
1.2152e-05,1.3311e-08,885.2138349586103
4.2348e-06,3.5882e-09,1182.7211364003813
0.22707,6.1922e-06,125826.64930083705
0.27406,1.3964e-05,3306481.7841457427
17.602,9.7597e-05,1270899.4658442826
0.033461,6.53e-07,557289.6539964468
1.966e-05,1.2872e-06,35781.46469934017
34.959,1.256e-05,2771390.767161542
0.0030771,0.00016325,432127.931879769
0.007873,1.2157e-05,224814.97737766427
8.814e-05,2.2934e-05,58252.965705027964
0.00010789,3.6548e-05,136739.35206109486
5.9997e-07,3.4098e-06,5561.649705064417
1.547e-06,1.1801e-06,5964.846031436245
0.004435,3.6928e-06,1205.3708663222717
2.9336e-05,9.6413e-06,2354661.4778734446
3.0023e-05,1.0899e-05,2373186.466670684
3.3627e-06,0.00010807,3518389.599757344
1.8876e-05,4.0675e-05,271355.91020821675
2.3147e-05,6.213e-05,153988.0450071267
1.1898e-05,4.81e-05,34419.9478836259
4.9727e-06,9.051e-05,112452.20548975158
1.6883e-05,0.0002701,247669.923984898
1.6905e-06,9.9737e-05,72394.45663023053
0.00010763,8.9822e-05,6618.519184162614
1.714e-06,8.5124e-05,663137.721634272
9.8994e-07,9.4737e-06,250549.59217140847
7.4916e-05,2.0473e-05,290104.54715295974
2.9715e-06,1.5375e-06,260729.69926124957
4.3213e-06,2.1708e-05,2509129.5049373466
0.00056902,9.0859e-05,5148105.5641216915
1.1612e-06,5.1491e-05,261058.99509333135
2.1236e-06,3.3161e-06,208634.46955503704
1.9111e-06,0.00012165,2617265.01700726
1.6865e-06,6.4327e-06,3094939.237097331
1.7731e-06,6.2058e-07,1992072.389344255
8.5838e-07,5.2276e-06,474167.5326829491
1.1771e-06,0.00083511,1747107.4912866645
1.5413e-05,3.5049e-06,43159.07837855015
2.2221e-05,4.0224e-06,15223.56126080216
1.3227e-05,0.062517,20987.41412264328
2.9416e-05,1.4921,12973.703204458287
0.0059532,6.7004e-05,109645.7379288654
